text;text_g;text_s;y_max;page;file
une voisine;eine Nachbarin;M. Lacombe est un voisin. Mme Blanchard est ~.;1047;3;C:\coding\voki\data\SerieVertes1.pdf
Tu es ... ?;Bist du ... ?;Moi, je suis Isabelle. Et toi, ~ Julien?;1094;3;C:\coding\voki\data\SerieVertes1.pdf
Non.;;Tu es Arthur? - ~, monsieur, je m'appelle Nein. Julien.;1116;3;C:\coding\voki\data\SerieVertes1.pdf
Au revoir!;Auf Wiedersehen!;«, monsieur! A bientôt!;1162;3;C:\coding\voki\data\SerieVertes1.pdf
bête;dumm/blöde;;1183;3;C:\coding\voki\data\SerieVertes1.pdf
Oui.;Ja;= Non.;1206;3;C:\coding\voki\data\SerieVertes1.pdf
un exercice;eine Übung;;205;4;C:\coding\voki\data\SerieVertes1.pdf
un exemple;ein Beispiel;;229;4;C:\coding\voki\data\SerieVertes1.pdf
Christine;weibl. Vorname;;251;4;C:\coding\voki\data\SerieVertes1.pdf
3 mademoiselle  Bonjour, madame! Bonjour, monsieur!;Fräulein;;275;4;C:\coding\voki\data\SerieVertes1.pdf
maintenant;nun/jetzt;;321;4;C:\coding\voki\data\SerieVertes1.pdf
4 = quatre;vier;;343;4;C:\coding\voki\data\SerieVertes1.pdf
Brigitte;weibl. Vorname;;365;4;C:\coding\voki\data\SerieVertes1.pdf
un dialogue;ein Dialog;;389;4;C:\coding\voki\data\SerieVertes1.pdf
une question;eine Frage;;413;4;C:\coding\voki\data\SerieVertes1.pdf
une phrase;ein Satz;;433;4;C:\coding\voki\data\SerieVertes1.pdf
8 = huit;acht;;457;4;C:\coding\voki\data\SerieVertes1.pdf
une scène;eine Szene;;479;4;C:\coding\voki\data\SerieVertes1.pdf
Martine;weibl. Vorname;;503;4;C:\coding\voki\data\SerieVertes1.pdf
Lecombe;Familienname;;525;4;C:\coding\voki\data\SerieVertes1.pdf
Martin;männl. Vorname;;548;4;C:\coding\voki\data\SerieVertes1.pdf
2 = deux;zwei;;1029;4;C:\coding\voki\data\SerieVertes1.pdf
Que fait Julien?;Was macht Julien?;;1142;4;C:\coding\voki\data\SerieVertes1.pdf
le père;der Vater;;1164;4;C:\coding\voki\data\SerieVertes1.pdf
de;von;;1186;4;C:\coding\voki\data\SerieVertes1.pdf
entrer;be-/eintreten/hereinkommen;;1209;4;C:\coding\voki\data\SerieVertes1.pdf
dans;in;;1258;4;C:\coding\voki\data\SerieVertes1.pdf
une cuisine;eine Küche;;1283;4;C:\coding\voki\data\SerieVertes1.pdf
Le père de Julien entre dans la cuisine.;Juliens Vater betritt die Küche.;;129;5;C:\coding\voki\data\SerieVertes1.pdf
porter qc;etw. tragen;;177;5;C:\coding\voki\data\SerieVertes1.pdf
un carton;ein Karton;;199;5;C:\coding\voki\data\SerieVertes1.pdf
Il porte un carton.;Er trägt einen Karton.;;222;5;C:\coding\voki\data\SerieVertes1.pdf
poser qe;etw. setzen/stellen/legen;;269;5;C:\coding\voki\data\SerieVertes1.pdf
sur;auf/über;;290;5;C:\coding\voki\data\SerieVertes1.pdf
une étagère;ein Regal(brett)/Bücherbord;M. Rigot pose le carton sur -.;314;5;C:\coding\voki\data\SerieVertes1.pdf
Ouf!;Uff!/Puh!;;359;5;C:\coding\voki\data\SerieVertes1.pdf
encore;noch;~ un carton!;380;5;C:\coding\voki\data\SerieVertes1.pdf
chéri/chérie;Liebling;;405;5;C:\coding\voki\data\SerieVertes1.pdf
regarder qe;etw. sehen/ansehen/ betrachten;;475;5;C:\coding\voki\data\SerieVertes1.pdf
une étiquette;ein Etikett/ein Aufkleber;[F] = une ~ +-+ [D] = ein Etikett;520;5;C:\coding\voki\data\SerieVertes1.pdf
La mère de Julien regarde l'étiquette.;Juliens Mutter betrachtet das Etikett.;;542;5;C:\coding\voki\data\SerieVertes1.pdf
mais;aber;;587;5;C:\coding\voki\data\SerieVertes1.pdf
Regarde.;Sieh mal!;;610;5;C:\coding\voki\data\SerieVertes1.pdf
pour;für;Le carton est ~ Julien.;635;5;C:\coding\voki\data\SerieVertes1.pdf
à propos;übrigens/apropos;~, que fait Julien?;657;5;C:\coding\voki\data\SerieVertes1.pdf
travailler;arbeiten;Que fait Julien? - Il ~1.;680;5;C:\coding\voki\data\SerieVertes1.pdf
ou;oder;;703;5;C:\coding\voki\data\SerieVertes1.pdf
jouer;spielen;Julien travaille? - Non, il ~2.;725;5;C:\coding\voki\data\SerieVertes1.pdf
installer qe;etw. aufstellen/anschließen/installieren;;748;5;C:\coding\voki\data\SerieVertes1.pdf
un ordinateur;ein Computer;;793;5;C:\coding\voki\data\SerieVertes1.pdf
Il installe l'ordinateur.;Er schließt den Computer an.;;815;5;C:\coding\voki\data\SerieVertes1.pdf
une chambre;ein (Schlaf)Zimmer;;861;5;C:\coding\voki\data\SerieVertes1.pdf
trouver qe;etw. finden;;885;5;C:\coding\voki\data\SerieVertes1.pdf
un lit;ein Bett;M. Rigot porte le ~ dans la chambre de Julien.;906;5;C:\coding\voki\data\SerieVertes1.pdf
Elle trouve Julien sur le lit.;Sie findet Julien auf dem Bett.;;953;5;C:\coding\voki\data\SerieVertes1.pdf
alors;nun/jetzt/dann;;998;5;C:\coding\voki\data\SerieVertes1.pdf
monsieur;hier: der Herr;Alors, ~ travaille?;1021;5;C:\coding\voki\data\SerieVertes1.pdf
une BD (bande dessinée);ein Comic(Heft);Astérix est -.;1043;5;C:\coding\voki\data\SerieVertes1.pdf
maman;Mama/Mutti;;1088;5;C:\coding\voki\data\SerieVertes1.pdf
Qu'est-ce que c'est?;Was ist das?;;1113;5;C:\coding\voki\data\SerieVertes1.pdf
en allemand;auf Deutsch;«Un lit», qu'est-ce que c'est ~? - C'est «ein Bett».;1181;5;C:\coding\voki\data\SerieVertes1.pdf
en français;auf Französisch;«Ein Bett», qu'est-ce que c'est ~? - C'est «un lit».;197;6;C:\coding\voki\data\SerieVertes1.pdf
un verbe;ein Verb;;244;6;C:\coding\voki\data\SerieVertes1.pdf
pour toi;für dich;La BD est pour moi ou ~?;267;6;C:\coding\voki\data\SerieVertes1.pdf
papa;Papa/Vati;maman +-+ papa;290;6;C:\coding\voki\data\SerieVertes1.pdf
où;WO;où = wo +-+ ou = oder (Auf der Oder schwimmt kein Graf!);427;6;C:\coding\voki\data\SerieVertes1.pdf
Minnie;weibl. Vorname;;473;6;C:\coding\voki\data\SerieVertes1.pdf
Où est Minnie?;Wo ist Minnie?;~ Minnie? - Elle est dans la cuisine.;495;6;C:\coding\voki\data\SerieVertes1.pdf
Ça va?;Wie geht's?/Geht's (dir) gut?;;518;6;C:\coding\voki\data\SerieVertes1.pdf
Ça va.;Es geht (mir) gut.;Ça va? - Oui, -.;562;6;C:\coding\voki\data\SerieVertes1.pdf
chercher qn/qc;jdn./etw. suchen;;588;6;C:\coding\voki\data\SerieVertes1.pdf
Je cherche Minnie.;Ich suche Minnie.;;610;6;C:\coding\voki\data\SerieVertes1.pdf
un appartement;eine Wohnung;;657;6;C:\coding\voki\data\SerieVertes1.pdf
Elle est dans l'appartement.;Sie ist in der Wohnung.;Où est Minnie? - ~;702;6;C:\coding\voki\data\SerieVertes1.pdf
une souris;eine Maus;Qui est Minnie? - C'est ~.;725;6;C:\coding\voki\data\SerieVertes1.pdf
Tu joues avec une souris?;Spielst du (etwa) mit einer Maus?;;748;6;C:\coding\voki\data\SerieVertes1.pdf
aimer qn;jdn. lieben/mögen;;793;6;C:\coding\voki\data\SerieVertes1.pdf
J'aime Minnie.;Ich mag Minnie.;Tu aimes Minnie? - Oui, -.;816;6;C:\coding\voki\data\SerieVertes1.pdf
Et alors?;hier: Na und?;Tu joues avec une souris? - ~?;838;6;C:\coding\voki\data\SerieVertes1.pdf
avec moi;mit mir;Tu joues ~? - Oui, je joue avec toi.;861;6;C:\coding\voki\data\SerieVertes1.pdf
Tu cherches Minnie avec moi?;Suchst du Minnie mit mir?;;885;6;C:\coding\voki\data\SerieVertes1.pdf
D'accord.;Einverstanden!/O.K.;Tu cherches Minnie avec moi? - Oui, ~.;930;6;C:\coding\voki\data\SerieVertes1.pdf
une salle de bains;ein Badezimmer;;953;6;C:\coding\voki\data\SerieVertes1.pdf
une salle de séjour;ein Wohnzimmer;;998;6;C:\coding\voki\data\SerieVertes1.pdf
Cherche dans la salle de bains.;Such im Badezimmer.;;1043;6;C:\coding\voki\data\SerieVertes1.pdf
Entre.;Komm herein!/Herein!;;1090;6;C:\coding\voki\data\SerieVertes1.pdf
Julie;weibl. Vorname;;1111;6;C:\coding\voki\data\SerieVertes1.pdf
une sœur;eine Schwester;;1136;6;C:\coding\voki\data\SerieVertes1.pdf
la sœur d'Isabelle;die Schwester von Isabelle/Isabelles Schwester;Qui est Julie? - C'est ~.;1156;6;C:\coding\voki\data\SerieVertes1.pdf
Tu es Julien, non?;Du bist Julien, nicht wahr?;;1226;6;C:\coding\voki\data\SerieVertes1.pdf
C'est ça.;Genau!/Das stimmt!;Tu es Julien, non? -~.;1279;6;C:\coding\voki\data\SerieVertes1.pdf
on;man/wir;;130;7;C:\coding\voki\data\SerieVertes1.pdf
on cherche;man sucht/wir suchen;;153;7;C:\coding\voki\data\SerieVertes1.pdf
ensemble;zusammen/gemeinsam;On cherche la souris ~? - D'accord.;176;7;C:\coding\voki\data\SerieVertes1.pdf
Au secours!;Hilfe!;;198;7;C:\coding\voki\data\SerieVertes1.pdf
Hé!;He!;;220;7;C:\coding\voki\data\SerieVertes1.pdf
un repas;ein Essen/eine Mahlzeit;;244;7;C:\coding\voki\data\SerieVertes1.pdf
..., hein? (fam.);..., nicht?/ja?/nicht wahr? (ugs.);;269;7;C:\coding\voki\data\SerieVertes1.pdf
pauvre;arm;;313;7;C:\coding\voki\data\SerieVertes1.pdf
un architecte;ein Architekt;;519;7;C:\coding\voki\data\SerieVertes1.pdf
dessiner;zeichnen;;541;7;C:\coding\voki\data\SerieVertes1.pdf
un plan;ein Plan;;566;7;C:\coding\voki\data\SerieVertes1.pdf
une réponse;eine Antwort;;586;7;C:\coding\voki\data\SerieVertes1.pdf
s'il te plaît;bitte (wenn man jdn. duzt);Porte l'étagère avec moi, ~;609;7;C:\coding\voki\data\SerieVertes1.pdf
demander;fragen/bitten;;655;7;C:\coding\voki\data\SerieVertes1.pdf
un groupe;eine Gruppe;F = u~ -- [D] = eine Gruppe;677;7;C:\coding\voki\data\SerieVertes1.pdf
la suite;die Fortsetzung;;700;7;C:\coding\voki\data\SerieVertes1.pdf
Cathy;weibl. Vorname;;723;7;C:\coding\voki\data\SerieVertes1.pdf
un mot;ein Wort;;746;7;C:\coding\voki\data\SerieVertes1.pdf
d'une leçon à l'autre;von einer Lektion zur anderen;;199;8;C:\coding\voki\data\SerieVertes1.pdf
une table;ein Tisch;;245;8;C:\coding\voki\data\SerieVertes1.pdf
une serviette;eine Schultasche/Aktentasche;;270;8;C:\coding\voki\data\SerieVertes1.pdf
un livre;ein Buch;;315;8;C:\coding\voki\data\SerieVertes1.pdf
un cahier;ein Heft;;337;8;C:\coding\voki\data\SerieVertes1.pdf
une trousse;ein Federmäppchen/Etui;;360;8;C:\coding\voki\data\SerieVertes1.pdf
un stylo;ein Kugelschreiber/Füller;;382;8;C:\coding\voki\data\SerieVertes1.pdf
une gomme;ein Radiergummi;;406;8;C:\coding\voki\data\SerieVertes1.pdf
un crayon;ein Bleistift;;429;8;C:\coding\voki\data\SerieVertes1.pdf
il y a;es gibt/es ist/es sind;+ [E] there is/there are;452;8;C:\coding\voki\data\SerieVertes1.pdf
Qu'est-ce qu'il y a sur la table de Julie?;Was ist/liegt auf Julies Tisch?;;474;8;C:\coding\voki\data\SerieVertes1.pdf
en plus;zusätzlich;;614;8;C:\coding\voki\data\SerieVertes1.pdf
3 = trois;drei;Un, deux, ~;796;8;C:\coding\voki\data\SerieVertes1.pdf
Daguerre;frz. Name (Jacques Daguerre, 1787-1851, Erfinder der Fotografie);;910;8;C:\coding\voki\data\SerieVertes1.pdf
la rue Daguerre;die Daguerrestraße;;1000;8;C:\coding\voki\data\SerieVertes1.pdf
habiter;wohnen;;1024;8;C:\coding\voki\data\SerieVertes1.pdf
10 = dix;zehn;;1047;8;C:\coding\voki\data\SerieVertes1.pdf
Julien habite 10, rue Daguerre.;Julien wohnt in der Daguerrestraße 10.;;1070;8;C:\coding\voki\data\SerieVertes1.pdf
aussi;auch;Julien habite 10, rue Daguerre. Julie --;1115;8;C:\coding\voki\data\SerieVertes1.pdf
à côté;nebenan/daneben;à -ô -é;1137;8;C:\coding\voki\data\SerieVertes1.pdf
il y a;es gibt/es ist/es sind;[E] - there is/there are;1160;8;C:\coding\voki\data\SerieVertes1.pdf
un café;eine Kneipe;A côté, il y a -.;1183;8;C:\coding\voki\data\SerieVertes1.pdf
une terrasse;eine Terrasse;Dans la rue Daguerre, il y a un café avec ~.;1206;8;C:\coding\voki\data\SerieVertes1.pdf
Il/Elle s'appelle ...;Er/Sie/Es heißt ...;;1260;8;C:\coding\voki\data\SerieVertes1.pdf
Le Daguerre;Name eines Cafés in der Daguerrestraße;;128;9;C:\coding\voki\data\SerieVertes1.pdf
un immeuble;ein (mehrgeschossiges) Gebäude/Wohnhaus;;176;9;C:\coding\voki\data\SerieVertes1.pdf
des immeubles;Gebäude (Plural)/ Wohnhäuser;Dans la rue Daguerre, il y a ~.;221;9;C:\coding\voki\data\SerieVertes1.pdf
un hôtel;ein Hotel;;267;9;C:\coding\voki\data\SerieVertes1.pdf
des hôtels;Hotels;;288;9;C:\coding\voki\data\SerieVertes1.pdf
un restaurant;ein Restaurant;;313;9;C:\coding\voki\data\SerieVertes1.pdf
un magasin;ein Geschäft/Laden;Dans la rue Daguerre, il y a aussi des ~1.;382;9;C:\coding\voki\data\SerieVertes1.pdf
par exemple;zum Beispiel;;406;9;C:\coding\voki\data\SerieVertes1.pdf
une parfumerie;eine Parfumerie;;428;9;C:\coding\voki\data\SerieVertes1.pdf
une poissonnerie;ein Fischgeschäft;;449;9;C:\coding\voki\data\SerieVertes1.pdf
une boucherie;eine Metzgerei/Fleischerei;;496;9;C:\coding\voki\data\SerieVertes1.pdf
des boucheries;Metzgereien/Fleischereien;;541;9;C:\coding\voki\data\SerieVertes1.pdf
une épicerie;ein Lebensmittelgeschäft;;588;9;C:\coding\voki\data\SerieVertes1.pdf
une boulangerie  Dans la rue Daguerre, il y a des magasins:;eine Bäckerei;;634;9;C:\coding\voki\data\SerieVertes1.pdf
aujourd'hui;heute;;726;9;C:\coding\voki\data\SerieVertes1.pdf
un marché;ein Markt;;748;9;C:\coding\voki\data\SerieVertes1.pdf
Aujourd'hui, c'est le marché.  = ~ le ~.;Heute ist Markt.;;772;9;C:\coding\voki\data\SerieVertes1.pdf
un stand;ein (Markt)Stand;;793;9;C:\coding\voki\data\SerieVertes1.pdf
ce sont;das/es sind;;815;9;C:\coding\voki\data\SerieVertes1.pdf
où;wo (Relativpronomen);;837;9;C:\coding\voki\data\SerieVertes1.pdf
un fruit;eine Frucht/Obstsorte;[F] = un ~ +-+ [D] = eine Frucht;860;9;C:\coding\voki\data\SerieVertes1.pdf
des fruits;Obst/Früchte;Ce sont des stands où on trouve -.;882;9;C:\coding\voki\data\SerieVertes1.pdf
un légume;ein Gemüse;;906;9;C:\coding\voki\data\SerieVertes1.pdf
des légumes;Gemüse;Ce sont des stands où on trouve des fruits et ~.;928;9;C:\coding\voki\data\SerieVertes1.pdf
une fleur;eine Blume;;974;9;C:\coding\voki\data\SerieVertes1.pdf
un vêtement;ein Kleidungsstück;Ce sont des stands où on trouve aussi des fleurs et des ~ 3.;996;9;C:\coding\voki\data\SerieVertes1.pdf
là;da/dort;Ici et ~.;1153;9;C:\coding\voki\data\SerieVertes1.pdf
en classe;in der Klasse;Jouez ~.;1200;9;C:\coding\voki\data\SerieVertes1.pdf
Qu'est-ce qu'il y a dans le carton?;Was ist/befindet sich in dem Karton?;;132;10;C:\coding\voki\data\SerieVertes1.pdf
une baguette;eine Baguette (frz. Stangenweißbrot);;340;10;C:\coding\voki\data\SerieVertes1.pdf
on fait;man macht/wir machen;;383;10;C:\coding\voki\data\SerieVertes1.pdf
un tour;ein (Spazier)Gang/ Rundgang;;408;10;C:\coding\voki\data\SerieVertes1.pdf
On fait un tour?;Machen wir einen Spaziergang?/Sollen wir einen Spaziergang machen?;;452;10;C:\coding\voki\data\SerieVertes1.pdf
un quartier;ein (Stadt) Viertel;On fait un tour dans le ~?;546;10;C:\coding\voki\data\SerieVertes1.pdf
apporter qc;etw. (mit)bringen;Tu ~ 1 une baguette, Julien?;570;10;C:\coding\voki\data\SerieVertes1.pdf
Julie et Julien -+ Ils sont dans la rue.;Sie (weibl. und männl.) sind auf der Straße.;[F] = dans la rue + -+ [D] = auf der Straße;590;10;C:\coding\voki\data\SerieVertes1.pdf
devant;vor (örtlich);;636;10;C:\coding\voki\data\SerieVertes1.pdf
les stands;die (Markt)Stände;;660;10;C:\coding\voki\data\SerieVertes1.pdf
écouter qn/qc;jdm. zuhören/etw. (an)hören;Julien ~2 Arthur.;683;10;C:\coding\voki\data\SerieVertes1.pdf
un commerçant/une commerçante;ein Händler/eine Handlerin;;728;10;C:\coding\voki\data\SerieVertes1.pdf
un jean;eine Jeans/ein Paar Jeans;C'est un stand où on trouve des vête-;798;10;C:\coding\voki\data\SerieVertes1.pdf
un copain/une copine (fam.) Julie est une ~ de Julien.;ein Freund/eine Freundin (ugs.);;843;10;C:\coding\voki\data\SerieVertes1.pdf
arriver;(an)kommen;;888;10;C:\coding\voki\data\SerieVertes1.pdf
Deux copines arrivent.;Zwei Freundinnen kommen an.;;910;10;C:\coding\voki\data\SerieVertes1.pdf
bavarder;plaudern/sich unterhalten;;956;10;C:\coding\voki\data\SerieVertes1.pdf
Les copines -+ Elles bavardent.;Sie (weibl.) plaudern.;;1001;10;C:\coding\voki\data\SerieVertes1.pdf
puis;danr;F = ~, Julien entre dans ...;1049;10;C:\coding\voki\data\SerieVertes1.pdf
quitter qn/qc;jdn./etw. verlassen;;1097;10;C:\coding\voki\data\SerieVertes1.pdf
une fille;ein Mädchen;;1118;10;C:\coding\voki\data\SerieVertes1.pdf
un skateboard;ein Skateboard;;1139;10;C:\coding\voki\data\SerieVertes1.pdf
Nathalie;weibl. Vorname;;1209;10;C:\coding\voki\data\SerieVertes1.pdf
un ami/une amie;ein (guter) Freund/eine (gute) Freundin;Nathalie est l'~1 de Julie.;125;11;C:\coding\voki\data\SerieVertes1.pdf
l'attention (f.);die Aufmerksamkeit;[F] = [atasjo] + -- + [E] = [o'ten[n];173;11;C:\coding\voki\data\SerieVertes1.pdf
Attention!;Vorsicht!/Achtung!;;194;11;C:\coding\voki\data\SerieVertes1.pdf
Boum!;Bums!;;217;11;C:\coding\voki\data\SerieVertes1.pdf
un choc;hier: ein Zusammenstoß;;241;11;C:\coding\voki\data\SerieVertes1.pdf
Mince!/Mince alors! (fam.);Mist!/Verflixt noch mal! (ugs.);;286;11;C:\coding\voki\data\SerieVertes1.pdf
Hi! Hi!;Hi, hi! (Kichern);;331;11;C:\coding\voki\data\SerieVertes1.pdf
Deux et deux font quatre.;Zwei und zwei sind/ macht vier.;;355;11;C:\coding\voki\data\SerieVertes1.pdf
Ahmed;männl. Vorname;;401;11;C:\coding\voki\data\SerieVertes1.pdf
Luc;männl. Vorname;;424;11;C:\coding\voki\data\SerieVertes1.pdf
jouer au foot (fam.);Fußball spielen (ugs.);;446;11;C:\coding\voki\data\SerieVertes1.pdf
Ahmed et Luc -> Ils habitent rue Daguerre.;Sie (mannL.) wohnen in der Daguerrestraße.;;536;11;C:\coding\voki\data\SerieVertes1.pdf
16 = seize;sechzehn;;583;11;C:\coding\voki\data\SerieVertes1.pdf
une cour;ein Hof;;606;11;C:\coding\voki\data\SerieVertes1.pdf
un garçon;ein Junge;Nathalie est une fille. Luc est -.;630;11;C:\coding\voki\data\SerieVertes1.pdf
un ballon;ein Ball;;653;11;C:\coding\voki\data\SerieVertes1.pdf
taper dans le ballon;gegen den Ball treten/ den Ball spielen;;675;11;C:\coding\voki\data\SerieVertes1.pdf
Super! (fam.);Super!/Toll! (ugs.);;721;11;C:\coding\voki\data\SerieVertes1.pdf
Tu es super!;Du bist super!;;742;11;C:\coding\voki\data\SerieVertes1.pdf
rentrer;heimgehen/heimkommen;Julien, on ~3? - Oui, oui. J'arrive.;765;11;C:\coding\voki\data\SerieVertes1.pdf
Alors, elles arrivent, les baguettes?;Na, kommen die Baguettes endlich (an)?;;808;11;C:\coding\voki\data\SerieVertes1.pdf
un prix/des prix;ein Preis/Preise;;858;11;C:\coding\voki\data\SerieVertes1.pdf
une partie;ein Teil;;970;11;C:\coding\voki\data\SerieVertes1.pdf
une pantomime;eine Pantomime;Jouez ~.;1037;11;C:\coding\voki\data\SerieVertes1.pdf
raconter qc;etw. erzählen;;1084;11;C:\coding\voki\data\SerieVertes1.pdf
Racontez ...;Erzählt ...;;1106;11;C:\coding\voki\data\SerieVertes1.pdf
une histoire;eine Geschichte;Racontez -.;1129;11;C:\coding\voki\data\SerieVertes1.pdf
Merci.;Danke.;Ça va? - Oui, ça va. -.;1152;11;C:\coding\voki\data\SerieVertes1.pdf
une stratégie;eine Strategie (eine Technik, die man anwendet, um ein Ziel zu erreichen);;198;12;C:\coding\voki\data\SerieVertes1.pdf
lire à haute voix;laut lesen;;290;12;C:\coding\voki\data\SerieVertes1.pdf
* une ville;ein Hotel;eine Stadt;450;12;C:\coding\voki\data\SerieVertes1.pdf
un quartier;ein Geschäft;ein (Stadt) Viertel;470;12;C:\coding\voki\data\SerieVertes1.pdf
une rue;eine Metzgerei/Fleischerei;eine Straße;494;12;C:\coding\voki\data\SerieVertes1.pdf
un immeuble;;ein (mehrgeschossiges) Gebäude/Wohnhaus;517;12;C:\coding\voki\data\SerieVertes1.pdf
une maison;ein Lebensmittelgeschäft;ein Haus;563;12;C:\coding\voki\data\SerieVertes1.pdf
un café;ein Fischgeschäft;eine Kneipe;608;12;C:\coding\voki\data\SerieVertes1.pdf
une terrasse;der Markt;eine Terrasse;631;12;C:\coding\voki\data\SerieVertes1.pdf
un restaurant;ein (Markt)Stand;ein Restaurant;655;12;C:\coding\voki\data\SerieVertes1.pdf
les Rigot;die Rigots/die Familie Rigot;[F] = les Rigot + -> [D] = die Rigots;584;13;C:\coding\voki\data\SerieVertes1.pdf
les Lacroix;die Lacroix/die Familie Lacroix;;629;13;C:\coding\voki\data\SerieVertes1.pdf
un bidule (fam.);ein Dingsbums (ugs.);;676;13;C:\coding\voki\data\SerieVertes1.pdf
les «Bidules»;die „Dingsbums“, hier: Name einer Rockband;;697;13;C:\coding\voki\data\SerieVertes1.pdf
Rennes;Stadt in Frankreich;;765;13;C:\coding\voki\data\SerieVertes1.pdf
un conducteur;"ein Fahrer; hier: ein Lokführer";;789;13;C:\coding\voki\data\SerieVertes1.pdf
un TGV;ein TGV (frz. Hochgeschwindigkeitszug, ähnlich dem ICE);;835;13;C:\coding\voki\data\SerieVertes1.pdf
un conducteur de TGV;ein TGV-Lokführer;M. Rigot est ~. (ohne «un»);902;13;C:\coding\voki\data\SerieVertes1.pdf
un infirmier/une infirmière;ein Krankenpfleger/ eine Krankenschwester;Mme Rigot est -. (ohne «une»);926;13;C:\coding\voki\data\SerieVertes1.pdf
un hôpital;ein Krankenhaus;Mme Rigot est infirmière. Elle travaille dans ~.;994;13;C:\coding\voki\data\SerieVertes1.pdf
les parents (m ., pl.)  M. et Mme Lacroix sont ~ de Julie et;die Eltern;;1039;13;C:\coding\voki\data\SerieVertes1.pdf
une famille;eine Familie;La ~ Lacroix, c'est M. et Mme Lacroix, Julie et Isabelle.;1086;13;C:\coding\voki\data\SerieVertes1.pdf
depuis;;La famille Lacroix est à Paris ~ quatre ans. seit;1130;13;C:\coding\voki\data\SerieVertes1.pdf
un an;ein Jahr;;1152;13;C:\coding\voki\data\SerieVertes1.pdf
